-,-,-
398, -35, 927
398, -35, 927
429, -49, 983
362, -57, 1085
355, 7, 1102
391, 71, 1028
421, 93, 998
421, 93, 998
328, 61, 1027
247, 39, 1041
250, 80, 992
217, 101, 1008
114, 93, 1093
114, 93, 1093
-8, 63, 1078
-,-,-
512, 95, 977
530, 64, 1085
493, -4, 1100
447, -12, 1106
447, -12, 1106
478, 40, 1098
466, 84, 1061
355, 133, 1087
288, 97, 1039
261, 55, 927
139, 70, 920
139, 70, 920
12, 61, 922
-74, 33, 917
-219, 21, 902
-219, 21, 902
-,-,-
234, 56, 969
282, 89, 1036
288, 123, 1082
288, 123, 1082
281, 124, 1050
316, 55, 983
296, 34, 996
250, 65, 967
236, 89, 965
236, 89, 965
243, 95, 1011
198, 120, 1016
111, 116, 1003
7, 97, 1003
7, 97, 1003
-,-,-
341, 135, 988
368, 182, 1054
349, 192, 1021
332, 183, 982
332, 183, 982
322, 172, 989
301, 175, 1005
256, 186, 1005
234, 168, 1004
196, 132, 1012
129, 111, 1017
66, 108, 1024
66, 108, 1024
-19, 68, 995
-164, 16, 1012
-285, -23, 1067
-,-,-
412, 94, 988
452, 133, 1030
452, 133, 1030
485, 145, 1024
485, 155, 1034
509, 148, 1042
509, 159, 1019
469, 176, 1015
412, 156, 1002
378, 111, 998
309, 108, 1002
309, 108, 1002
184, 136, 977
63, 142, 987
-64, 95, 975
-,-,-
595, 152, 1005
619, 147, 992
597, 130, 1038
590, 118, 1055
574, 120, 1011
494, 113, 975
494, 113, 975
407, 136, 975
339, 184, 988
243, 171, 944
135, 142, 930
2, 173, 968
2, 173, 968
-148, 203, 1044
-,-,-
553, 132, 946
591, 138, 963
575, 134, 924
575, 134, 924
549, 148, 973
539, 125, 976
508, 97, 998
406, 55, 971
372, 75, 958
372, 75, 958
358, 87, 970
260, 103, 986
143, 126, 1009
80, 125, 1009
80, 125, 1009
0, 103, 1029
-100, 75, 1031
-193, 108, 1096
-238, 127, 1118
-,-,-
243, 114, 971
243, 114, 971
283, 116, 1014
309, 94, 1010
333, 89, 986
389, 80, 995
395, 50, 1026
395, 50, 1026
369, 18, 1024
348, 32, 1003
298, 59, 1012
242, 75, 993
227, 89, 952
227, 89, 952
220, 115, 957
136, 153, 963
-18, 159, 1019
-190, 131, 1052
-276, 71, 1010
-383, 103, 1020
-383, 103, 1020
-442, 100, 1073
-510, 44, 1102
-520, 1, 1171
-,-,-
324, 69, 946
383, 94, 1020
383, 94, 1020
387, 116, 1002
396, 141, 984
391, 137, 983
367, 107, 1001
373, 92, 1016
373, 92, 1016
336, 83, 1015
280, 91, 1037
247, 114, 1043
242, 103, 1031
187, 70, 1021
113, 81, 995
113, 81, 995
43, 84, 980
-12, 86, 1006
-57, 96, 989
-141, 125, 999
-141, 125, 999
-225, 139, 983
-346, 151, 926
-379, 179, 997
-408, 123, 1092
-,-,-
231, 112, 1036
287, 104, 980
335, 108, 990
350, 117, 1003
323, 126, 1019
326, 123, 1019
359, 124, 1002
359, 124, 1002
364, 130, 998
400, 136, 996
399, 124, 1066
333, 90, 1063
299, 82, 1045
248, 109, 1049
248, 109, 1049
173, 128, 1061
133, 115, 1027
106, 101, 981
65, 103, 984
-4, 115, 988
-60, 127, 980
-60, 127, 980
-113, 136, 935
-162, 126, 940
-224, 129, 931
-243, 158, 976
-,-,-
319, 122, 1061
337, 140, 1006
367, 118, 1065
354, 136, 1038
361, 152, 1011
357, 152, 989
357, 152, 989
343, 137, 1005
332, 133, 1023
346, 123, 1041
333, 103, 1038
277, 97, 1030
214, 97, 1032
199, 113, 1030
199, 113, 1030
152, 108, 994
76, 94, 965
67, 115, 954
87, 138, 948
87, 138, 948
75, 153, 948
-35, 149, 946
-116, 146, 949
-,-,-
221, 259, 940
253, 259, 925
309, 250, 934
354, 233, 964
363, 220, 976
363, 220, 976
368, 208, 1001
358, 193, 1004
330, 195, 1011
330, 204, 1002
302, 202, 1014
307, 223, 1038
264, 214, 1068
216, 182, 1071
216, 182, 1071
190, 159, 1051
176, 136, 993
-,-,-
472, 59, 1024
441, 55, 1026
416, 42, 1059
390, 61, 1040
362, 91, 1050
362, 91, 1050
314, 93, 1046
277, 76, 1008
240, 111, 1017
218, 130, 997
175, 133, 974
140, 128, 974
140, 128, 974
160, 113, 970
125, 98, 982
32, 90, 1000
-57, 97, 991
-57, 97, 991
-128, 127, 985
-209, 145, 993
-264, 164, 1003
-,-,-
426, 39, 1080
422, 41, 975
435, 64, 1059
410, 75, 1069
410, 75, 1069
369, 74, 1049
369, 73, 1049
348, 86, 1033
310, 100, 1030
297, 116, 1028
263, 104, 1033
263, 104, 1033
211, 78, 1030
164, 71, 989
105, 90, 985
27, 87, 981
27, 87, 981
-15, 100, 987
-22, 95, 1014
-71, 89, 1011
-138, 96, 985
-193, 112, 983
-193, 112, 983
-260, 132, 965
-326, 161, 957
-368, 139, 978
-404, 149, 998
-451, 150, 1006
-,-,-
482, 9, 1126
484, -33, 1082
420, -49, 1104
383, -37, 1153
370, -32, 1126
370, -32, 1126
339, -30, 1106
316, -38, 1138
307, -19, 1130
262, 20, 1101
208, 67, 1021
151, 112, 982
38, 104, 931
38, 104, 931
-149, 106, 907
-254, 126, 916
-259, 158, 947
-250, 179, 969
-279, 175, 945
-341, 167, 950
-341, 167, 950
-,-,-
412, 25, 1063
465, 94, 1113
528, 34, 1127
475, 27, 1106
455, 44, 1112
455, 44, 1112
465, 61, 1095
500, 66, 1061
519, 44, 1043
452, 34, 1040
383, 45, 1050
383, 45, 1050
315, 40, 1005
217, 40, 953
79, 59, 996
-39, 99, 973
-39, 99, 973
-117, 92, 954
-234, 81, 1035
-372, 63, 1090
-418, 66, 1085
-487, 68, 1097
-543, 67, 1130
-,-,-
549, 64, 997
549, 64, 997
593, 114, 1090
615, 94, 1010
607, 114, 1035
547, 131, 1090
528, 104, 1120
528, 104, 1120
509, 63, 1159
460, 54, 1183
381, 36, 1196
300, 9, 1146
206, 2, 1064
206, 2, 1064
127, 11, 1096
57, 28, 1096
29, 61, 1083
-75, 56, 1074
-75, 56, 1074
-214, 75, 1015
-292, 74, 982
-218, 82, 1018
-152, 125, 1034
-208, 147, 1003
-275, 143, 984
-346, 120, 986
-,-,-
535, 85, 1014
535, 85, 1014
559, 70, 1018
476, 66, 1035
392, 57, 1044
369, 30, 1012
380, 17, 1002
380, 17, 1045
354, 29, 1045
269, 55, 1033
196, 61, 1019
167, 53, 1014
127, 54, 1024
61, 94, 1030
61, 94, 1030
-3, 96, 1059
-101, 104, 1046
-,-,-
573, 69, 1061
605, 50, 1040
561, 56, 1058
496, 51, 1049
496, 51, 1049
477, 44, 1030
485, 34, 1018
482, 39, 1033
437, 26, 1069
337, 3, 1079
337, 3, 1079
273, -10, 1118
226, -37, 1141
181, -71, 1136
69, -101, 1110
-81, -148, 1116
-204, -168, 1112
-271, -151, 1116
-306, -114, 1134
-,-,-
445, -30, 929
481, -47, 963
481, -47, 963
504, -37, 960
514, -21, 978
490, -32, 1009
475, -55, 1047
522, -84, 1048
525, -94, 1022
525, -94, 1022
513, -39, 1070
446, -41, 1057
379, -83, 1022
312, -102, 1001
250, -86, 1005
124, -45, 1040
-35, 5, 1060
-139, 11, 1041
-139, 11, 1041
-163, 25, 1063
-261, 2, 1098
-,-,-
466, -22, 1107
500, -47, 1077
533, -55, 1103
521, -53, 1145
458, -39, 1089
446, -39, 1105
455, -53, 1056
434, -57, 1004
434, -57, 1004
371, -32, 985
320, 11, 981
265, 34, 919
223, 45, 916
123, 45, 894
123, 45, 894
32, 62, 889
-72, 71, 906
-142, 90, 932
-142, 90, 932
-244, 118, 936
-,-,-
531, -36, 1032
481, -24, 1025
502, -36, 1035
522, -33, 1034
501, -35, 993
432, -35, 992
343, -56, 1016
294, -97, 1042
294, -97, 1042
330, -116, 1049
297, -104, 1074
205, -85, 1086
130, -91, 1093
77, -115, 1094
-49, -90, 1170
-209, -102, 1153
-,-,-
602, 86, 973
647, 47, 1105
713, 28, 1124
695, 23, 1091
622, 23, 1118
577, -5, 1108
577, -5, 1108
582, -21, 1126
591, -49, 1053
613, -56, 1053
553, -67, 1076
416, -24, 1063
322, -19, 1077
214, -28, 991
214, -28, 991
111, 15, 930
-61, 29, 1026
-240, -18, 1032
-302, -55, 1006
-339, -28, 1020
-391, -17, 1054
-,-,-
478, 337, 875
478, 337, 875
301, 328, 937
202, 254, 970
242, 175, 971
291, 80, 1005
284, 61, 1134
258, 85, 1218
258, 85, 1218
251, 95, 1211
210, 60, 1160
176, 70, 1041
185, 126, 1012
101, 164, 1054
101, 164, 1054
-61, 169, 1067
-,-,-
411, 9, 960
